name,ID,ZNF436_vs_dK_p.val,ZNF436_vs_dK_p.adj,ZNF436_vs_dK_significant,ZNF436_vs_dK_ratio,dK_centered,GFP_centered,wt_centered,ZNF436_centered,role
CCT2,P78371,0.11488975,0.793,FALSE,0.15,-0.191,0.814,-0.0795,-0.0406,
DDX3X,A0A2R8YFS5,0.114664521,0.793,FALSE,-0.157,0.0319,-0.103,0.255,-0.125,
METAP2,P50579-3,0.114596157,0.793,FALSE,-0.303,-0.123,0.421,0.818,-0.426,
SRP68,Q9UHB9,0.114546245,0.793,FALSE,-0.269,0.0404,0.24,0.217,-0.229,
HSPA4,P34932,0.115792675,0.794,FALSE,0.635,-0.632,0.222,1.11,0.00282,
CTNND1,O60716-5,0.116467346,0.795,FALSE,-0.226,0.117,-0.0432,0.0127,-0.109,
FAU,E9PR30,0.11738055,0.796,FALSE,-0.206,0.203,-0.093,-0.337,-0.00327,
PSME3,B3KQ25,0.118008602,0.796,FALSE,-0.395,0.175,0.167,-0.0205,-0.22,
GDI2,P50395,0.119402631,0.798,FALSE,1.11,-0.501,-0.76,0.289,0.611,
RPL10,X1WI28,0.11918482,0.798,FALSE,-0.196,0.1,-0.102,0.0592,-0.096,
EIF4A1,P60842,0.120094294,0.799,FALSE,-0.127,0.0298,-0.0565,0.173,-0.0974,
GLS.1,O94925-3,0.120908175,0.799,FALSE,-0.151,0.0389,0.152,0.0452,-0.112,
HADH,E9PF18,0.121640772,0.8,FALSE,0.339,-0.213,0.133,0.0868,0.125,
PCMT1,F6S8N6,0.121285673,0.8,FALSE,-0.168,-0.00452,0.367,0.109,-0.172,
TMEM41B,Q5BJD5,0.121361082,0.8,FALSE,-0.363,0.204,-0.359,0.151,-0.159,
DBT,A0A7P0Z494,0.122289728,0.801,FALSE,-0.214,0.112,-0.13,0.067,-0.102,
HSPE1,P61604,0.122499845,0.801,FALSE,0.916,-0.232,-0.921,-0.292,0.685,
ANXA3,P12429,0.123909206,0.802,FALSE,0.359,-0.16,-0.303,0.122,0.199,
IKBKAP,O95163,0.123436669,0.802,FALSE,-0.214,-0.0192,0.303,0.303,-0.233,
Q86XP3-2,Q86XP3-2,0.123546247,0.802,FALSE,0.799,0.191,0.0127,-2.37,0.99,
SERPINA5,P05154,0.123258385,0.802,FALSE,0.492,-0.501,-0.0723,1.07,-0.00947,
HNRNPU,Q00839-2,0.124016919,0.803,FALSE,0.109,-0.0779,0.195,-0.0365,0.0312,
RING1,Q06587,0.124423404,0.803,FALSE,0.248,0.016,-0.0281,-0.541,0.264,
LAMA1,P25391,0.125875533,0.804,FALSE,-0.473,-0.02,0.528,0.673,-0.493,
MYO5B,Q9ULV0,0.125181736,0.804,FALSE,0.367,-0.137,-0.011,-0.18,0.23,
UFL1,O94874,0.125462653,0.804,FALSE,-0.14,0.133,-0.277,-0.0658,-0.00755,
CAP1,Q01518,0.126988143,0.805,FALSE,0.343,-0.247,-0.238,0.461,0.0957,
TNS1,Q9HBL0,0.126222868,0.805,FALSE,-0.274,0.32,-0.315,-0.523,0.0461,
AP3B1,A0A8Q3WKJ9,0.127787724,0.806,FALSE,-0.131,0.039,0.00925,0.0997,-0.0919,
CON__P02769,CON__P02769,0.127504878,0.806,FALSE,-0.519,-0.0195,0.337,0.891,-0.538,
QTRTD1,Q9H974-2,0.127433657,0.806,FALSE,-0.776,0.371,-0.11,0.139,-0.404,
THRAP3,Q9Y2W1,0.127854138,0.806,FALSE,0.358,0.915,-0.519,-4.03,1.27,
TTC38,Q5R3I4,0.127442218,0.806,FALSE,-0.167,0.0944,-0.0351,-0.0206,-0.0724,
NUP93,Q8N1F7,0.128900648,0.807,FALSE,-0.125,0.0385,-0.0613,0.138,-0.0868,
A0A1B0GW05,A0A1B0GW05,0.130146962,0.808,FALSE,0.231,-0.0204,-0.0988,-0.315,0.211,
EIF3I,Q13347,0.129563322,0.808,FALSE,-0.203,-0.0647,0.255,0.495,-0.268,
TCOF1,Q13428-2,0.129470156,0.808,FALSE,0.562,-0.0568,0.31,-1.1,0.505,
LAMA5,O15230,0.130904415,0.809,FALSE,-0.616,0.225,0.225,0.183,-0.391,
DBN1,Q16643,0.132370811,0.81,FALSE,-0.62,0.465,-0.438,-0.328,-0.155,
EEFSEC,P57772,0.132296202,0.81,FALSE,-0.23,0.191,0.234,-0.458,-0.0395,
MVP,Q14764,0.131676569,0.81,FALSE,-0.315,0.226,-0.0058,-0.272,-0.0885,
NDC1,Q9BTX1-6,0.132185242,0.81,FALSE,0.257,-0.165,0.03,0.125,0.0924,
CKM,P06732,0.133385936,0.811,FALSE,0.846,0.0641,0.129,-2.03,0.91,
MATN2,O00339-3,0.132833116,0.811,FALSE,-0.842,0.286,1,-0.128,-0.556,
ZNF516,Q92618,0.133388485,0.811,FALSE,-0.185,0.018,0.0682,0.253,-0.167,
EHD4,Q9H223,0.134448085,0.812,FALSE,-0.136,0.147,-0.153,-0.214,0.0113,
MAP2K3,P46734-2,0.134934492,0.812,FALSE,-0.128,-0.0352,0.192,0.27,-0.164,
TMSB10,P63313,0.134072655,0.812,FALSE,0.56,-0.201,-0.698,0.151,0.358,
XRCC6,P12956,0.133910292,0.812,FALSE,0.199,-0.154,0.182,0.0964,0.0452,
ZZZ3,Q8IYH5-2,0.134083472,0.812,FALSE,0.34,0.149,-1.19,-0.48,0.489,
AK1,Q5T9B7,0.135734092,0.813,FALSE,-0.22,0.385,0.223,-1.25,0.164,
ARPC4-TTLL3,F8WCF6,0.135932642,0.813,FALSE,-0.724,0.443,-0.15,-0.222,-0.282,
PSMC2,C9JX88,0.135340041,0.813,FALSE,0.0964,-0.0495,0.0881,-0.0536,0.0469,
ACTR2,P61160,0.136497479,0.814,FALSE,-0.569,0.363,-0.303,-0.112,-0.206,
FARSB,Q9NSD9,0.137082538,0.814,FALSE,-0.131,0.0494,0.226,-0.0864,-0.0817,
LPCAT3,Q6P1A2,0.137194934,0.814,FALSE,-0.234,0.144,-0.246,0.0549,-0.0897,
MAP1B,P46821,0.137038602,0.814,FALSE,0.175,0.0504,-0.00835,-0.547,0.226,
PARP1,P09874,0.136367237,0.814,FALSE,0.227,-0.0747,0.22,-0.302,0.153,
PRMT5,O14744-2,0.136701609,0.814,FALSE,-0.608,0.238,0.258,0.0917,-0.37,
SPTAN1,Q13813,0.136139177,0.814,FALSE,-0.454,0.317,-0.142,-0.266,-0.137,
ATAD3A,Q9NVI7-2,0.137609234,0.815,FALSE,-0.156,0.0703,-0.0739,0.08,-0.0856,
AUTS2,A0A2R8Y522,0.137891899,0.815,FALSE,-0.502,0.346,0.381,-0.633,-0.156,
FAF2,Q96CS3,0.137488518,0.815,FALSE,-0.171,-0.00428,-0.129,0.445,-0.175,
ZNF462,Q96JM2,0.137835181,0.815,FALSE,0.578,-0.107,-0.0808,-0.673,0.471,
ACTR1A,P61163,0.139690644,0.816,FALSE,-0.132,0.038,0.097,0.0463,-0.0935,
CON__ENSEMBL:ENSBTAP00000031900,CON__ENSEMBL:ENSBTAP00000031900,0.138958301,0.816,FALSE,-1.07,0.0968,0.735,1.27,-0.976,
HSDL2,Q6YN16,0.138998781,0.816,FALSE,-0.206,0.262,-0.172,-0.523,0.0562,
LDHA,P00338,0.138881114,0.816,FALSE,-0.276,0.342,0.147,-0.913,0.0657,
PLS3,P13797-3,0.138677623,0.816,FALSE,0.284,-0.259,-0.0524,0.504,0.0249,
RTF1,Q92541,0.138993586,0.816,FALSE,0.767,-0.198,-0.646,-0.312,0.569,
UBXN7,O94888,0.139750188,0.816,FALSE,-0.201,0.00436,0.192,0.257,-0.197,
ACTR3,P61158,0.140184595,0.817,FALSE,-0.719,0.451,-0.0724,-0.315,-0.269,
ALDH4A1,P30038,0.140278609,0.817,FALSE,-0.0986,0.118,-0.148,-0.177,0.0198,
P46934-4,P46934-4,0.140130119,0.817,FALSE,-0.168,0.0422,0.11,0.0928,-0.125,
SARS2,M0QWZ7,0.140040009,0.817,FALSE,-0.168,0.0824,0.0799,-0.0464,-0.0858,
SART1,O43290,0.140187393,0.817,FALSE,0.859,0.354,-0.46,-2.83,1.21,
SUB1,P53999,0.140117547,0.817,FALSE,0.286,-0.085,0.0694,-0.279,0.202,
CON__P15497,CON__P15497,0.141127816,0.818,FALSE,-0.576,-0.28,1.09,1.54,-0.856,
MYO6,A0A1Y0BRN3,0.141234893,0.818,FALSE,0.292,-0.0848,-0.499,0.0876,0.207,
SRP72,O76094,0.142215226,0.818,FALSE,-0.46,0.0407,0.432,0.47,-0.42,
ACTN1,A0A804HK61,0.142731639,0.819,FALSE,-0.669,0.533,-0.313,-0.583,-0.137,
IGFBP7,Q16270-2,0.1422871,0.819,FALSE,0.407,-0.114,-0.21,-0.219,0.293,
PHB,P35232,0.142637557,0.819,FALSE,-0.113,0.0741,-0.0371,-0.0464,-0.0385,
ARF4,P18085,0.144322945,0.82,FALSE,-0.187,0.0628,-0.121,0.204,-0.124,
ADAR,A0A7P0Z4F9,0.145867892,0.821,FALSE,0.136,-0.0736,0.437,-0.269,0.0623,
COL18A1,P39060-2,0.145382259,0.821,FALSE,-0.406,0.0972,0.207,0.286,-0.309,
HSPG2,P98160,0.145408197,0.821,FALSE,-0.58,0.054,0.123,0.862,-0.526,
ACOX3,O15254,0.147029446,0.822,FALSE,0.221,-0.155,-0.167,0.29,0.066,
OLA1,J3KQ32,0.147221629,0.822,FALSE,0.36,-0.261,0.155,0.219,0.0995,
PDXDC1,Q6P996-4,0.146939207,0.822,FALSE,0.125,0.00146,-0.17,-0.144,0.127,
PYCR1,P32322,0.147075279,0.822,FALSE,-0.181,0.052,-0.0912,0.215,-0.129,
SERPINA1,A0A024R6I7,0.146272228,0.822,FALSE,0.751,-0.567,-0.227,0.916,0.184,
FN3K,Q9H479,0.148562175,0.823,FALSE,0.198,-0.0294,0.0847,-0.336,0.169,
PPP1CA,P62136,0.1481719,0.823,FALSE,-0.434,-0.0767,0.526,0.825,-0.511,
RAP1B,P61224,0.148001187,0.823,FALSE,-0.404,-0.111,0.429,0.967,-0.515,
WDR33,Q9C0J8,0.148210108,0.823,FALSE,0.61,0.518,-1.37,-2.38,1.13,
COL4A1,P02462,0.150035611,0.824,FALSE,-0.561,0.123,0.402,0.36,-0.437,
MYO1D,O94832,0.148844545,0.824,FALSE,-0.175,0.0577,-0.228,0.272,-0.118,
CNDP2,Q96KP4,0.151208544,0.825,FALSE,0.124,-0.0818,0.0695,0.0325,0.0424,
FADS1,O60427,0.150860775,0.825,FALSE,-0.183,0.0841,-0.00309,0.0317,-0.099,
CBS,P35520,0.15194904,0.826,FALSE,-0.156,-0.0285,0.174,0.309,-0.184,
ROR2,Q01974,0.152604637,0.826,FALSE,-0.19,0.0669,0.0741,0.0637,-0.123,
COQ6,Q9Y2Z9-3,0.1537037,0.827,FALSE,-0.196,0.167,0.269,-0.454,-0.0292,
ESYT2,A0A499FIX8,0.153835674,0.827,FALSE,-0.168,0.101,-0.275,0.116,-0.0674,
NDUFA10,O95299,0.153662883,0.827,FALSE,-0.149,0.177,-0.0457,-0.378,0.0274,
SQRDL,Q9Y6N5,0.154349197,0.827,FALSE,-0.525,-0.0306,-0.146,1.27,-0.556,
TUBB4A,P04350,0.153822774,0.827,FALSE,0.39,-0.201,-0.573,0.407,0.189,
BUD31,P41223,0.155807864,0.828,FALSE,0.383,-0.0836,-0.0288,-0.413,0.3,
KRT14,CON__P02533,0.154639648,0.828,FALSE,-0.795,0.554,-0.641,-0.199,-0.241,
TM7SF2,E9PLS9,0.155356221,0.828,FALSE,-0.481,0.226,-0.223,0.207,-0.255,
KRT10,CON__P13645,0.156594584,0.829,FALSE,-0.601,0.343,-0.057,-0.13,-0.259,
BCOR,H7BZ37,0.158053128,0.83,FALSE,-0.358,0.206,-0.236,0.049,-0.152,
CORO2A,Q92828,0.158292955,0.83,FALSE,-0.478,0.201,-0.198,0.281,-0.276,
GNAS,Q5JWF2,0.157439094,0.83,FALSE,0.171,-0.035,-0.328,0.0176,0.136,
ILK,A0A0A0MTH3,0.158079664,0.83,FALSE,-0.11,0.1,-0.121,-0.0996,-0.00991,
USP9X,Q93008-3,0.157899724,0.83,FALSE,-0.227,0.0266,-0.0234,0.364,-0.201,
VPS35,Q96QK1,0.15840223,0.83,FALSE,-0.113,0.0718,-0.0852,-0.0046,-0.0411,
HMGN1,P05114,0.159078918,0.831,FALSE,0.291,-0.166,-0.27,0.262,0.125,
HSPA5,P11021,0.159660875,0.831,FALSE,0.153,-0.138,-0.212,0.388,0.0148,
SNTB2,Q13425,0.159793789,0.831,FALSE,-0.156,0.0891,-0.0119,-0.0356,-0.0673,
TGM2,P21980,0.159579872,0.831,FALSE,-0.68,0.519,0.388,-0.973,-0.161,
VDAC2,P45880,0.158892848,0.831,FALSE,-0.157,0.129,0.0267,-0.22,-0.0277,
DSP,P15924,0.161198948,0.832,FALSE,-0.685,0.227,-0.178,0.58,-0.458,
DUSP3,K7ES89,0.160628946,0.832,FALSE,0.234,0.00937,-0.217,-0.362,0.244,
MYH14,Q7Z406-6,0.16152324,0.832,FALSE,-0.724,0.494,-0.416,-0.25,-0.23,
P13674-2,P13674-2,0.160522621,0.832,FALSE,0.15,0.0364,-0.124,-0.364,0.187,
RAC1,P63000,0.161084895,0.832,FALSE,-0.305,0.0132,-0.191,0.685,-0.292,
RPS11,P62280,0.161275843,0.832,FALSE,-0.125,-0.0271,0.134,0.27,-0.152,
SUPT16H,Q9Y5B9,0.161721974,0.832,FALSE,0.166,-0.173,0.336,0.135,-0.00651,
BMP5,P22003-2,0.16240165,0.833,FALSE,-0.295,0.0191,0.671,0.0662,-0.276,
HNRNPH1,P31943,0.163271456,0.833,FALSE,-0.126,0.0558,-0.117,0.106,-0.0698,
PLEKHA5,Q9HAU0-5,0.162531876,0.833,FALSE,-0.185,0.1,-0.123,0.0498,-0.0845,
PSPC1,Q8WXF1,0.162993899,0.833,FALSE,0.137,0.0644,-0.071,-0.485,0.202,
U2AF1,Q01081,0.162639777,0.833,FALSE,0.202,-0.142,0.23,0.0114,0.0599,
USP34,Q70CQ2,0.163060228,0.833,FALSE,0.666,1,-2.68,-3.55,1.67,
G6PD,E7EUI8,0.163592942,0.834,FALSE,-0.171,-0.0375,0.085,0.434,-0.208,
GLDC,P23378,0.164280136,0.834,FALSE,0.313,-0.38,-0.179,1.02,-0.0677,
GSK3A,P49840,0.164940636,0.834,FALSE,-0.155,0.14,-0.216,-0.107,-0.0148,
KRT2,CON__P35908v2,0.165026337,0.834,FALSE,-0.65,0.367,-0.234,-0.0131,-0.283,
PBLD,P30039-2,0.164176392,0.834,FALSE,-0.201,0.173,-0.0291,-0.269,-0.0285,
YLPM1,P49750,0.164071341,0.834,FALSE,0.348,0.345,-0.567,-1.7,0.693,
AP1M2,Q9Y6Q5,0.16652063,0.835,FALSE,-0.264,-0.0781,-0.0726,0.889,-0.342,
PDLIM5.1,Q96HC4-6,0.166396776,0.835,FALSE,-0.524,0.729,0.138,-1.96,0.204,
CTPS2,Q9NRF8,0.167178183,0.836,FALSE,-0.115,0.0266,0.00461,0.121,-0.0885,
PPAT,Q06203,0.167395534,0.836,FALSE,-0.548,0.114,0.56,0.265,-0.434,
CLU,P10909-4,0.168505705,0.837,FALSE,-0.468,-0.0966,-0.0115,1.33,-0.565,
HNRNPC,G3V4C1,0.169001249,0.837,FALSE,0.162,-0.0218,0.155,-0.341,0.141,
CYP3A7,P24462,0.170277579,0.838,FALSE,-0.339,0.414,-1.15,-0.213,0.0752,
DHCR7,A0A8I5KRR9,0.170703431,0.838,FALSE,-0.232,0.108,-0.187,0.155,-0.123,
HSP90AA1,P07900,0.170088228,0.838,FALSE,0.173,-0.0511,-0.139,-0.0479,0.121,
KARS,Q15046,0.171343832,0.838,FALSE,0.118,-0.109,0.167,0.0901,0.00847,
POLR2H,C9JLU1,0.170800479,0.838,FALSE,0.145,-0.124,0.0677,0.159,0.0217,
RPS8,Q5JR95,0.171062057,0.838,FALSE,-0.114,-0.0137,0.232,0.129,-0.128,
TBL2,E9PF19,0.171682852,0.838,FALSE,-0.198,0.0798,-0.163,0.187,-0.119,
PELO,Q9BRX2,0.172207969,0.839,FALSE,0.18,-0.0697,0.167,-0.191,0.11,
ILF2,B4DY09,0.176416243,0.841,FALSE,0.173,0.0191,0.479,-0.742,0.192,
PPA2,Q9H2U2,0.176906816,0.841,FALSE,-0.415,-0.00317,0.215,0.699,-0.418,
RER1,Q5T092,0.176282046,0.841,FALSE,0.29,-0.13,-0.408,0.211,0.16,
UBA6,A0AVT1,0.175478884,0.841,FALSE,0.391,-0.378,0.23,0.577,0.0128,
CRTAP,C9JP16,0.177450876,0.842,FALSE,-0.15,0.0797,0.0395,-0.0442,-0.0708,
CTTN,Q14247,0.177222967,0.842,FALSE,-0.467,0.381,-0.125,-0.504,-0.0867,
SAR1A,Q9NR31,0.177516145,0.842,FALSE,-0.153,-0.0569,0.193,0.404,-0.21,
TNS3,Q68CZ2,0.178581296,0.842,FALSE,0.272,-0.0393,-0.205,-0.249,0.232,
AIMP1,Q12904,0.180294916,0.843,FALSE,0.24,-0.0137,-0.156,-0.321,0.226,
COL2A1,P02458,0.179268801,0.843,FALSE,-0.748,0.598,0.896,-1.49,-0.15,
RRM1,P23921,0.18020594,0.843,FALSE,-0.194,-0.0124,0.298,0.239,-0.207,
ASNA1,O43681,0.180953968,0.844,FALSE,-0.257,-0.0746,0.54,0.452,-0.331,
CPSF1,Q10570,0.181731791,0.844,FALSE,0.594,0.582,-0.0883,-3.46,1.18,
MYOF,Q9NZM1-6,0.180913165,0.844,FALSE,0.412,-0.257,-0.104,0.272,0.155,
RRP7A,Q9Y3A4,0.182132827,0.844,FALSE,-0.172,0.0649,0.35,-0.15,-0.107,
SLC12A4,Q9UP95-2,0.180908944,0.844,FALSE,-0.196,0.253,-0.577,-0.233,0.0564,
CCNT1,O60563,0.1829416,0.845,FALSE,0.242,0.0207,0.0643,-0.61,0.263,
IDH1,O75874,0.183735047,0.845,FALSE,0.363,-0.375,0.0815,0.721,-0.0125,
ORMDL1,Q9P0S3,0.182713487,0.845,FALSE,-0.172,-0.0027,-0.256,0.525,-0.174,
RUVBL2,Q9Y230,0.18320017,0.845,FALSE,0.226,-0.22,0.334,0.203,0.0064,
GPX1,P07203,0.187499057,0.847,FALSE,-0.174,0.0227,0.146,0.159,-0.151,
PPP6R3,H7BXH2,0.187842875,0.847,FALSE,-0.603,0.344,-0.167,-0.057,-0.259,
RPL9,D6RAN4,0.186215326,0.847,FALSE,-0.128,0.0201,0.0504,0.143,-0.108,
ACTN2,P35609,0.189203462,0.848,FALSE,-0.77,0.955,0.0948,-2.34,0.185,
CDC42,P60953,0.18868718,0.848,FALSE,0.321,-0.196,-0.308,0.346,0.126,
GALNT2,Q10471,0.188939939,0.848,FALSE,-0.158,0.0893,0.0453,-0.0709,-0.069,
HMGCS1,Q01581,0.18951464,0.848,FALSE,0.309,-0.222,0.176,0.152,0.0874,
NEXN,Q0ZGT2-2,0.188372626,0.848,FALSE,-0.37,0.288,-0.353,-0.176,-0.082,
NT5C2,A0A6Q8PHP0,0.188780872,0.848,FALSE,0.251,-0.197,0.192,0.157,0.0544,
PABPC1,P11940,0.189094093,0.848,FALSE,0.221,-0.0716,-0.323,0.0589,0.15,
PDHA1,Q5JPU2,0.189007602,0.848,FALSE,-0.173,0.147,-0.031,-0.219,-0.0267,
SCYL1,E9PS17,0.188222824,0.848,FALSE,0.132,0.044,-0.239,-0.28,0.176,
CDKN2AIP,Q9NXV6,0.191712772,0.849,FALSE,0.455,0.02,0.229,-1.14,0.475,
CLPX,O76031,0.190131792,0.849,FALSE,-0.332,0.0648,-0.19,0.532,-0.268,
SENP3,Q9H4L4,0.191675693,0.849,FALSE,0.159,0.00441,-0.0705,-0.289,0.164,
SLC25A11,I3L1P8,0.190788404,0.849,FALSE,-0.157,0.244,0.012,-0.67,0.0869,
STIP1,P31948,0.190250369,0.849,FALSE,0.686,-0.326,-0.265,0.107,0.361,
ABHD11,Q8NFV4-4,0.193788202,0.85,FALSE,0.142,-0.114,-0.143,0.266,0.0282,
IGF2BP1,Q9NZI8,0.193754295,0.85,FALSE,-0.14,0.0503,-0.00393,0.081,-0.0895,
RBM4,Q9BWF3,0.193646738,0.85,FALSE,-0.217,-0.0225,0.251,0.357,-0.24,
TARS2,Q9BW92,0.193005777,0.85,FALSE,-0.184,0.142,0.177,-0.316,-0.0427,
ATP2B1,P20020-1,0.19504917,0.851,FALSE,-0.128,0.0486,-0.0281,0.08,-0.0792,
C14orf166,G3V4C6,0.195029772,0.851,FALSE,-0.145,0.038,0.154,0.0344,-0.107,
HNRNPF,P52597,0.194349539,0.851,FALSE,0.177,0.066,-0.0374,-0.593,0.243,
RAVER1,A0A087WZ13,0.194756836,0.851,FALSE,0.224,0.163,-0.312,-0.892,0.387,
RPL31,H7C2W9,0.194987654,0.851,FALSE,-0.106,0.0747,0.00119,-0.088,-0.0311,
SNW1,Q13573,0.194624104,0.851,FALSE,0.695,0.389,-0.34,-2.72,1.08,
SRRT,Q9BXP5-4,0.194745543,0.851,FALSE,0.124,0.00425,0.0438,-0.293,0.128,
BDH2,Q9BUT1,0.196504562,0.852,FALSE,-0.547,0.204,-0.0635,0.319,-0.343,
DAK,Q3LXA3,0.198103177,0.852,FALSE,-0.194,0.118,0.00624,-0.0894,-0.0755,
NCL,A0A7I2V428,0.197206356,0.852,FALSE,0.2,0.00594,0.22,-0.571,0.206,
SPTLC1,A0A8I5QKQ8,0.196982832,0.852,FALSE,0.185,-0.209,-0.288,0.656,-0.0233,
THOC2,A0A0C4DG98,0.197443879,0.852,FALSE,-0.279,0.0983,0.0668,0.121,-0.181,
BAG3,O95817,0.199087618,0.853,FALSE,-0.211,0.218,-0.0231,-0.433,0.00656,
C2orf47,Q8WWC4,0.1991143,0.853,FALSE,-0.123,0.123,-0.153,-0.144,-4.39E-05,
DNMT1,A0A7I2YQA8,0.200447434,0.853,FALSE,-0.741,0.0933,1.37,0.194,-0.647,
FBN1,P35555,0.199814152,0.853,FALSE,-0.333,0.0215,0.151,0.479,-0.312,
FOCAD,Q5VW36,0.200329006,0.853,FALSE,-0.149,0.141,-0.0173,-0.257,-0.00734,
HP1BP3,Q5SSJ5,0.1986729,0.853,FALSE,0.181,-0.00698,-0.154,-0.232,0.175,
ITGB1,H7C4K3,0.199942693,0.853,FALSE,-0.231,-0.0447,0.0697,0.593,-0.275,
KPNA2,A0A7I2V351,0.200427073,0.853,FALSE,-0.175,0.0136,0.181,0.175,-0.161,
PC,P11498,0.200062997,0.853,FALSE,-0.293,0.227,-0.513,0.0183,-0.0656,
RBM26,Q5T8P6-2,0.20035672,0.853,FALSE,-0.623,0.35,-0.54,0.208,-0.274,
SCCPDH,Q8NBX0,0.199051307,0.853,FALSE,-0.136,0.196,-0.133,-0.424,0.06,
SEC61A1,A0A8V8TMZ3,0.200274601,0.853,FALSE,-0.138,0.0438,-0.135,0.19,-0.0941,
ADD1,P35611-2,0.201696954,0.854,FALSE,-0.149,0.122,0.0532,-0.224,-0.0274,
CSRP3,P50461,0.201272691,0.854,FALSE,0.503,0.0137,0.291,-1.25,0.517,
EGFL7,Q9UHF1,0.202372901,0.854,FALSE,-0.434,-0.206,0.583,1.31,-0.641,
HNRNPAB,Q99729-3,0.202655482,0.854,FALSE,-0.236,0.197,-0.277,-0.133,-0.0387,
PNO1,Q9NRX1,0.20151035,0.854,FALSE,-0.21,-0.0365,0.461,0.259,-0.247,
VTN,P04004,0.201835169,0.854,FALSE,-0.555,-0.0514,-0.221,1.46,-0.607,
ZFP91,Q96JP5,0.201316962,0.854,FALSE,0.465,0.292,0.585,-2.49,0.757,
GPX4,K7ERP4,0.204546187,0.855,FALSE,-0.289,-0.102,0.481,0.664,-0.391,
NCKAP1,Q9Y2A7,0.203203812,0.855,FALSE,-0.106,0.1,0.00622,-0.194,-0.00539,
NID1,P14543,0.2041766,0.855,FALSE,-0.417,-0.0229,0.455,0.623,-0.44,
PLEC,Q15149-4,0.204348175,0.855,FALSE,-0.328,0.0576,-0.37,0.672,-0.27,
TMPO,P42166,0.20349843,0.855,FALSE,0.24,-0.231,-0.0193,0.456,0.00931,
MRPL48,F5H702,0.205860057,0.856,FALSE,-0.265,0.155,0.185,-0.214,-0.11,
ADH5,P11766,0.207802904,0.857,FALSE,0.33,-0.494,0.597,0.919,-0.164,
CDS2,O95674,0.20894086,0.857,FALSE,0.221,-0.0107,-0.198,-0.267,0.21,
CPXM1,Q96SM3,0.207452526,0.857,FALSE,-0.379,-0.0282,0.833,0.315,-0.407,
GNB2L1,P63244,0.209455047,0.857,FALSE,-0.106,0.00827,-0.0404,0.205,-0.0974,
MAGOH,P61326,0.207501517,0.857,FALSE,0.222,-0.229,0.177,0.353,-0.0067,
MTTP,P55157,0.207426049,0.857,FALSE,0.343,-0.206,-0.411,0.413,0.137,
PCOLCE2,Q9UKZ9,0.209433285,0.857,FALSE,0.415,-0.239,-0.255,0.298,0.176,
RPL6,Q02878,0.208052431,0.857,FALSE,-0.122,0.0821,0.0284,-0.104,-0.0397,
SAMHD1,A0A2R8YCS7,0.208966237,0.857,FALSE,-0.293,0.21,0.102,-0.322,-0.0833,
STAT3,P40763,0.207317298,0.857,FALSE,-0.102,0.132,-0.0104,-0.318,0.0304,
CFL1,P23528,0.210193294,0.858,FALSE,0.153,-0.0598,-0.173,0.0488,0.093,
EIF2S3,P41091,0.20979953,0.858,FALSE,-0.102,0.000543,-0.0623,0.244,-0.102,
VCP,P55072,0.211542687,0.858,FALSE,0.193,-0.0555,-0.294,0.0317,0.138,
AGO2,Q9UKV8,0.212143113,0.859,FALSE,-0.136,-0.094,0.141,0.554,-0.23,
COL4A2,P08572,0.212091309,0.859,FALSE,-0.487,0.196,0.452,-0.114,-0.29,
TIGAR,Q9NQ88,0.21329636,0.859,FALSE,0.15,-0.108,-0.0136,0.144,0.0412,
CCT6A,P40227,0.215974273,0.86,FALSE,0.102,-0.104,0.545,-0.151,-0.00191,
ISOC1,Q96CN7,0.214324492,0.86,FALSE,0.161,-0.131,0.129,0.116,0.0301,
PAFAH1B2,P68402,0.216040369,0.86,FALSE,0.147,-0.209,0.258,0.37,-0.0622,
PAPOLA,G3XAH6,0.214555181,0.86,FALSE,0.142,-0.117,0.0147,0.173,0.0257,
TARDBP,Q13148,0.215083452,0.86,FALSE,0.137,0.0146,-0.0567,-0.295,0.152,
TPR,P12270,0.21492183,0.86,FALSE,0.426,-0.0806,-0.43,-0.243,0.346,
RHOC,Q5JR08,0.217601356,0.861,FALSE,-0.19,0.0583,-0.0611,0.187,-0.131,
SKIV2L2,P42285,0.216938135,0.861,FALSE,0.192,-0.0943,0.2,-0.14,0.0976,
SNRPA1,P09661,0.216822429,0.861,FALSE,0.159,0.0222,-0.218,-0.262,0.181,
ALDH1B1,P30837,0.221120767,0.862,FALSE,0.0823,-0.0653,-0.231,0.251,0.017,
EIF3E,A0A7I2V3S3,0.221451315,0.862,FALSE,-0.106,-0.0506,0.204,0.278,-0.156,
HRNR,CON__Q86YZ3,0.220783551,0.862,FALSE,-0.479,0.352,-0.822,0.0975,-0.127,
SMAD3,P84022,0.221613279,0.862,FALSE,0.118,-0.0827,0.0644,0.0524,0.035,
TECR,Q9NZ01,0.220844604,0.862,FALSE,-0.151,0.0692,-0.259,0.197,-0.0816,
FBL,P22087,0.222605172,0.863,FALSE,-0.101,0.0136,0.0311,0.127,-0.0877,
LRRC47,Q8N1G4,0.222284868,0.863,FALSE,-0.221,0.0873,0.175,-0.023,-0.134,
SERPINB9,P50453,0.223909742,0.863,FALSE,0.32,-0.117,0.517,-0.515,0.202,
CSRP2,Q16527,0.224253418,0.864,FALSE,-0.232,-0.0196,0.475,0.226,-0.252,
